Post.code;Totaal.2020;Koopwoning.2020;Huurwoning.2020;adressen/km2.2020
Code;x1;%;%;adressen/km2
7973;740;60;40;74
7974;195;90;10;52
7975;1440;80;20;139
7981;2495;70;30;247
7983;645;90;10;44
7984;175;100;-99997;70
7985;40;90;-99997;36
7986;260;90;10;17
7991;4115;70;30;232
8011;8100;30;70;3185
8012;7045;50;50;2889
8013;2570;40;60;1294
8014;12575;60;40;1925
8015;3095;70;30;766
8016;7870;70;30;1620
8017;7005;70;30;1762
8019;2515;80;20;789
8021;5620;30;70;3486
8022;4905;20;80;2730
8023;5760;50;50;2750
8024;4035;70;30;665
8025;830;50;50;1198
8026;965;80;20;66
8028;250;80;20;32
8031;9975;40;60;2421
8032;9965;40;60;2121
