RegioS,Perioden,Personenauto_2
6595,2003,1316
6596,2003,1345
6598,2003,1124
5766,2004,241
5768,2004,2650
5796,2004,1
5800,2004,64
5801,2004,4404
5802,2004,2818
5803,2004,3612
5804,2004,629
5807,2004,933
5808,2004,518
5809,2004,903
5811,2004,356
5812,2004,221
5813,2004,984
5814,2004,229
5815,2004,493
5816,2004,111
5817,2004,97
5850,2004,1
5851,2004,1033
5853,2004,1033
5854,2004,2479
5855,2004,1168
5856,2004,557
5860,2004,1
5861,2004,939
5862,2004,196
5863,2004,576
5864,2004,896
5865,2004,512
5866,2004,568
5871,2004,518
5872,2004,370
5900,2004,110
5902,2004,150
5911,2004,1552
5912,2004,3529
5913,2004,4259
5914,2004,2867
5915,2004,2139
5916,2004,1412
5921,2004,2284
5922,2004,1894
5923,2004,1284
5924,2004,1591
5925,2004,1683
5926,2004,1256
5927,2004,345
5928,2004,979
5930,2004,26
5931,2004,3936
5932,2004,2476
5935,2004,1529
5940,2004,3
5941,2004,2362
5943,2004,483
5944,2004,1077
5950,2004,0
5951,2004,2484
5953,2004,4397
5954,2004,1189
5960,2004,19
5961,2004,5181
5962,2004,863
5963,2004,797
5964,2004,658
5966,2004,953
5970,2004,2
5971,2004,2165
5973,2004,993
5975,2004,2725
5976,2004,492
5977,2004,101
5980,2004,26
5981,2004,3334
5984,2004,513
5985,2004,751
5986,2004,1002
5987,2004,414
5988,2004,2491
5990,2004,1
5991,2004,2958
5993,2004,2974
5995,2004,2052
6000,2004,100
6001,2004,2684
6002,2004,2884
6003,2004,2169
6004,2004,3776
6005,2004,2035
6006,2004,4940
6011,2004,655
6012,2004,258
6013,2004,429
6014,2004,996
6015,2004,676
6017,2004,1180
6019,2004,1052
6030,2004,7
6031,2004,4269
6034,2004,727
6035,2004,1893
6037,2004,595
6039,2004,2255
6040,2004,191
6041,2004,4695
6042,2004,3775
6043,2004,4389
6044,2004,1065
6045,2004,2347
6049,2004,2365
6050,2004,34
6051,2004,3357
6061,2004,2111
6063,2004,1215
6065,2004,1540
6067,2004,1750
6070,2004,3
6071,2004,3877
6074,2004,1704
6075,2004,2048
6077,2004,1632
6080,2004,3
6081,2004,2083
6082,2004,445
6083,2004,351
6085,2004,1739
6086,2004,1568
6088,2004,1883
6089,2004,359
6091,2004,345
6092,2004,138
6093,2004,2973
6095,2004,1350
6096,2004,856
6097,2004,1847
6099,2004,930
6100,2004,18
6101,2004,4262
6102,2004,2066
6104,2004,918
6105,2004,745
6106,2004,1
6107,2004,816
6109,2004,434
6111,2004,294
6112,2004,435
6113,2004,1
6114,2004,3705
6116,2004,808
6118,2004,1635
6120,2004,18
6121,2004,2795
6122,2004,1049
6123,2004,651
6124,2004,381
6125,2004,911
6127,2004,1236
6129,2004,2900
6130,2004,833
6131,2004,1924
6132,2004,2688
6133,2004,1773
6134,2004,1206
6135,2004,2357
6136,2004,2973
6137,2004,3851
6141,2004,1298
6142,2004,706
6143,2004,573
6148,2004,1
6151,2004,2420
6153,2004,57
6155,2004,1026
6160,2004,145
6161,2004,2123
6162,2004,1599
6163,2004,3547
6164,2004,2376
6165,2004,2237
6166,2004,2600
6167,2004,38
6170,2004,14
6171,2004,5362
6174,2004,379
6176,2004,1805
6180,2004,5
6181,2004,4315
6190,2004,104
6191,2004,6309
6192,2004,1
6199,2004,120
6200,2004,50
6201,2004,145
6202,2004,60
6211,2004,3001
6212,2004,2014
6213,2004,1884
6214,2004,1478
6215,2004,3567
6216,2004,2659
6217,2004,3167
6218,2004,2707
6219,2004,794
6221,2004,3046
6222,2004,2085
6223,2004,1351
6224,2004,2893
6225,2004,2571
6226,2004,2888
6227,2004,2991
6228,2004,2649
6229,2004,2638
6230,2004,6
6231,2004,3529
6235,2004,1559
6237,2004,191
6241,2004,2800
6243,2004,1394
6245,2004,3664
6246,2004,1
6247,2004,1500
6251,2004,172
6252,2004,79
6255,2004,589
6261,2004,440
6262,2004,485
6265,2004,639
6267,2004,1787
6268,2004,304
6269,2004,1748
6270,2004,3
6271,2004,1799
6273,2004,124
6274,2004,281
6276,2004,73
6277,2004,215
6278,2004,50
6281,2004,946
6285,2004,532
6286,2004,954
6287,2004,862
6289,2004,47
6290,2004,8
6291,2004,3203
6294,2004,756
6295,2004,439
6300,2004,16
6301,2004,4991
6305,2004,809
6307,2004,206
6311,2004,392
6312,2004,78
6321,2004,1236
6325,2004,2294
6331,2004,1
6333,2004,1689
6336,2004,2095
6341,2004,32
6342,2004,60
6343,2004,1799
6350,2004,1
6351,2004,2593
6353,2004,25
6360,2004,28
6361,2004,3096
6363,2004,930
6365,2004,1408
6367,2004,4101
6369,2004,2722
6370,2004,30
6371,2004,2841
6372,2004,4912
6373,2004,4293
6374,2004,6180
6400,2004,15
6401,2004,225
6411,2004,3012
6412,2004,4143
6413,2004,5174
6414,2004,3714
6415,2004,2821
6416,2004,2255
6417,2004,3216
6418,2004,4236
6419,2004,2091
6421,2004,11
6422,2004,150
6430,2004,26
6431,2004,4859
6432,2004,2060
6433,2004,2347
6436,2004,1275
6438,2004,1930
6439,2004,605
6440,2004,10
6441,2004,3469
6442,2004,1236
6443,2004,1696
6444,2004,3287
6445,2004,1382
6446,2004,1977
6447,2004,829
6450,2004,2
6451,2004,2295
6454,2004,386
6456,2004,463
6460,2004,78
6461,2004,3411
6462,2004,3326
6463,2004,2008
6464,2004,2256
6465,2004,1174
6466,2004,3747
6467,2004,2344
6468,2004,202
6469,2004,293
