Post.code;Totaal.2021;Koopwoning.2021;Huurwoning.2021;adressen/km2.2021
Code;x1;%;%;adressen/km2
5306;3130;80;20;336
5307;1140;80;20;139
5308;2190;70;30;249
5311;2610;70;30;285
5313;900;80;20;99
5314;1735;80;20;188
5315;655;90;10;86
5316;400;90;10;58
5317;1770;80;20;175
5318;30;60;40;7
5321;5100;80;20;543
5324;3735;70;30;468
5325;1065;80;20;167
5327;890;80;20;114
5328;2795;70;30;295
5331;7875;60;40;750
5333;275;90;10;184
5334;1710;80;20;171
5335;645;80;20;100
5341;6725;40;60;2802
5342;6805;60;40;1499
5343;5435;70;30;1377
5344;7880;40;60;1790
5345;13610;70;30;1832
5346;7355;70;30;1802
5347;1230;70;30;984
5348;9225;50;50;1948
5349;305;80;20;789
