"Postcodes (PC4)";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|April 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|September 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|November 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|December 2020"
"8212 Zuiderzeewijk-O";27;29;30;28;27;28;28;30;32;32;34;36
"8218 Landelijk gebied";239;237;238;239;246;244;246;257;257;264;265;266
"8219 Landelijk gebied 2";31;31;33;35;34;36;37;39;40;42;47;50
"8221 Meanderplein";1;1;1;1;1;1;1;1;1;1;1;1
"8222 Jagersveld";4;5;6;7;7;7;7;7;7;7;7;7
"8223 Zuiderzeewijk-N";30;30;31;28;29;29;28;28;30;31;31;32
"8224 Zuiderzeewijk-Z";29;29;29;29;29;29;29;30;30;32;32;33
"8225 Bos en Water-N";14;14;13;15;16;18;20;21;21;22;28;28
"8226 Bos en Water-Z";52;52;53;56;58;63;67;68;68;71;78;80
"8231 Schepenwijk-N";12;12;12;12;14;14;16;17;19;20;23;23
"8232 Schepenwijk-O";32;35;38;39;42;44;48;49;50;53;53;58
"8233 Grietenij";2;2;2;1;1;1;1;1;1;1;1;1
"8239 Landelijk gebied 1";25;24;28;27;26;26;27;30;28;27;30;43
"8241 Golfpark";27;27;27;28;29;31;30;33;34;36;38;42
"8242 Schepenwijk-W";30;30;29;34;32;33;37;42;45;47;47;47
"8243 Schepenwijk-Z";61;63;65;66;69;73;74;79;82;86;89;90
"8244 Haven";40;41;42;44;45;45;47;53;55;57;60;61
"8245 Landelijk gebied 1";42;43;43;43;42;42;48;50;49;52;55;58
"8251 Dronten";85;87;93;92;95;102;105;107;111;113;115;124
"8252 Kern dronten";40;40;40;41;42;45;48;50;51;52;55;58
"8253 Landelijk gebied Dronten";81;85;86;86;86;89;94;96;102;105;108;117
"8254 Kern Dronten";3;4;4;4;4;4;4;3;3;3;3;4
"8255 Swifterbant";53;53;51;53;57;59;62;66;66;70;70;77
"8256 Biddinghuizen";40;42;42;42;45;49;51;52;54;59;62;70
"8261 Binnenstad";31;31;35;35;37;36;36;37;37;41;42;42
"8262 Kampen";20;20;20;20;22;22;22;22;22;23;24;24
"8263 Industriegebied";36;38;38;39;39;40;40;41;43;43;43;59
"8264 Hagenbroek";17;16;16;16;16;15;16;15;14;15;15;15
"8265 Flevowijk/Cellesbroek";42;44;45;47;49;49;51;50;55;54;57;61
"8266 Zuid/Bovenbroek";31;31;32;32;33;32;35;36;36;40;42;43
"8267 Kampereiland/Mandjeswaard";3;3;3;3;3;3;3;3;3;3;3;5
"8271 IJsselmuiden";64;64;67;65;64;64;66;67;68;69;68;73
"8274 Wilsum";2;2;2;2;2;2;2;3;3;4;4;4
"8275 's-Heerenbroek";5;5;5;5;5;5;5;6;5;5;9;8
"8276 Zalk";3;3;3;3;3;3;4;5;5;5;5;5
"8277 Grafhorst";7;7;8;8;7;8;8;8;8;8;8;8
"8278 Kamperveen";5;5;5;5;5;5;5;5;5;5;6;6
"8281 Genemuiden";48;49;49;49;52;53;54;59;62;66;76;80
"8291 Mastenbroek (Zwartewaterland)";"";"";"";"";"";"";"";"";"";"";"";""
"8293 Mastenbroek (Kampen)";4;4;4;4;4;5;4;4;4;5;5;5
"8294 Zwollerkerspel";1;1;1;1;1;1;1;1;1;1;1;1
"8301 De Zuidert";10;10;11;11;11;11;11;11;12;12;13;14
"8302 Oost/De Erven";52;53;55;55;55;58;60;67;70;76;81;82
"8303 Espelervaart/Revelsant";27;28;26;28;27;29;29;30;32;32;33;36
"8304 De Zuidert/Nagelerweg";46;56;58;59;60;59;59;63;67;70;70;77
"8305 Industriegebied de Munt";15;15;16;16;21;26;26;27;27;27;29;28
"8307 Ens";22;22;22;22;22;24;24;25;26;27;30;31
"8308 Nagele";18;18;18;21;22;22;23;24;24;24;25;27
"8309 Tollebeek";12;11;11;11;11;13;14;13;16;16;16;18
"8311 Espel";5;5;4;4;6;6;6;6;6;6;6;7
"8312 Creil";16;16;16;16;16;19;19;20;21;23;22;23
"8313 Rutten";6;6;6;6;7;7;7;7;8;8;8;8
"8314 Bant";14;14;14;15;15;15;16;15;15;15;15;15
"8315 Luttelgeest";16;16;16;16;17;17;17;17;19;20;21;21
"8316 Marknesse";22;22;21;22;23;26;28;28;28;30;31;33
"8317 Kraggenburg";7;8;8;8;9;11;11;13;13;16;16;16
"8319 Schokland";"";"";"";"";"";"";"";"";"";"";"";""
"8321 Urk";58;60;61;63;62;62;66;67;72;77;80;85
"8322 De Staart";39;39;39;39;39;42;41;41;45;45;46;51
"8325 Vollenhove";23;22;20;20;20;20;22;22;22;22;24;25
"8326 St Jansklooster/Heetveld";17;18;19;20;20;21;21;22;22;23;23;23
"8331 Steenwijk";72;74;76;76;76;75;73;73;75;77;80;87
"8332 De Meenten";31;34;34;34;35;37;38;39;39;39;41;47
"8333 Steenwijk ZuidOost";5;5;5;6;5;4;4;5;5;5;6;6
"8334 Tuk";16;16;16;16;16;17;17;17;17;18;19;20
"8335 Witte Paarden";1;1;1;1;1;1;1;1;1;1;1;1
"8336 Baars";"";"";"";"";"";"";"";"";"";"";"";""
"8337 De Pol";2;2;2;2;2;2;2;2;2;2;3;3
"8338 Willemsoord";8;8;8;8;8;8;9;9;9;10;10;10
"8339 Maryenkampen";1;1;1;1;1;1;1;1;1;1;1;1
"8341 Steenwijkerwold";6;6;7;7;7;7;8;7;7;7;9;10
"8342 Basse";"";"";"";"";"";"";"";"";"";"";"";""
"8343 Zuidveen";9;9;8;8;8;9;9;10;10;10;10;11
"8344 Onna";2;2;2;2;2;2;2;2;2;2;2;2
"8345 Kallenkote";1;1;1;1;1;1;1;1;1;1;1;1
"8346 De Bult";3;3;2;4;4;4;4;4;4;4;6;6
"8347 Eesveen";5;5;5;5;5;5;5;5;5;5;6;7
"8351 Wapserveen";3;3;3;3;3;4;4;3;3;3;3;3
"8355 Giethoorn";31;31;32;34;36;40;41;43;43;45;46;46
"8356 Blokzijl";4;4;4;4;3;3;3;4;3;3;3;3
"8361 IJsselham/Oldemarkt";"";"";"";"";"";1;1;1;1;1;1;1
"8362 Nederland";"";"";"";"";"";"";"";"";1;1;1;1
"8363 Wetering";1;1;1;0;0;0;0;0;0;0;0;0
"8371 Scheerwolde";2;2;2;2;2;2;2;2;2;2;2;2
"8372 Baarlo";0;0;"";"";0;0;0;0;0;0;0;0
"8373 Blankenham";2;2;2;2;2;2;2;2;1;1;1;1
"8374 Kuinre";4;5;5;5;5;6;6;6;6;6;6;7
"8375 Oldemarkt";18;20;22;22;22;22;24;25;23;23;24;25
"8376 Ossenzijl";5;5;5;5;5;5;6;6;6;6;6;8
"8377 Kalenberg";1;1;1;1;1;1;1;1;1;1;1;1
"8378 Paasloo";6;6;6;6;6;7;8;8;8;8;8;7
"8381 Vledder";9;9;9;10;10;10;14;22;23;29;32;34
"8382 Frederiksoord";5;5;5;5;5;5;5;5;5;6;6;6
"8383 Nijensleek";6;6;6;6;6;7;7;7;8;8;9;9
"8384 Wilhelminaoord";1;1;1;1;1;1;1;1;1;1;1;2
"8385 Vledderveen";2;2;2;2;3;3;3;3;4;4;4;4
"8386 Doldersum";1;1;1;1;1;1;1;1;1;1;1;1
"8387 Boschoord";"";"";"";"";"";"";"";"";"";"";"";""
"8388 Oosterstreek";3;4;4;4;4;4;4;5;5;5;5;6
"8389 Zandhuizen";1;1;1;1;1;1;1;1;1;1;1;1
"8391 Noordwolde";33;32;33;35;33;34;35;35;35;36;37;36
"8392 Boijl";2;2;2;2;2;2;2;3;3;3;3;4
"8393 Vinkega";2;2;2;2;2;2;2;2;2;2;2;2
"8394 De Hoeve";4;4;4;4;4;4;5;4;4;4;4;4
"8395 Steggerda";4;5;5;5;5;5;6;6;6;6;7;8
"8396 Peperga";"";"";"";"";"";"";"";"";"";"";"";""
"8397 De Blesse";2;2;2;3;3;3;3;3;3;4;4;4
"8398 Blesdijke";12;14;13;9;9;9;8;8;8;10;11;11
"8401 Gorredijk";34;35;35;35;36;37;38;38;40;39;41;43
"8403 Jonkerslân";2;2;2;2;2;2;2;2;2;3;3;4
"8404 Langezwaag";3;3;3;4;4;5;5;6;6;6;6;6
"8405 Luxwoude";6;6;6;6;6;6;6;6;6;6;6;7
"8406 Tijnje";12;12;12;12;12;12;12;12;13;13;13;13
"8407 Terwispel";2;2;2;2;2;2;2;2;2;2;1;1
"8408 Lippenhuizen";8;8;8;8;10;10;10;10;10;10;12;12
"8409 Hemrik";4;3;3;2;2;2;2;2;2;2;2;3
"8411 Jubbega";30;31;30;30;31;30;24;23;23;23;23;24
"8412 Hoornsterzwaag";4;4;4;4;5;5;5;5;5;5;5;5
"8413 Oudehorne";4;4;4;4;4;4;3;3;3;3;3;4
"8414 Nieuwehorne";5;5;5;5;5;5;7;7;7;7;7;7
"8415 Bontebok";8;9;9;9;9;9;9;9;10;11;11;13
"8421 Oldeberkoop";18;19;19;20;22;22;24;23;24;24;24;26
"8422 Nijeberkoop";6;6;6;6;7;7;7;8;8;8;8;8
"8423 Makkinga";9;9;9;9;9;9;9;9;9;9;9;9
"8424 Elsloo";5;5;4;4;5;5;5;5;4;4;4;14
"8425 Langedijke";2;2;2;2;2;2;2;2;2;2;2;2
"8426 Appelscha";44;46;49;47;50;44;44;39;42;45;48;49
"8427 Ravenswoud";4;4;4;3;4;5;5;5;6;6;6;6
"8428 Fochteloo";4;4;5;5;5;5;5;5;5;5;5;5
"8431 Oosterwolde";39;40;44;46;54;56;57;62;67;69;71;76
"8432 Haule";6;6;6;6;6;8;8;6;6;6;6;6
"8433 Haulerwijk";11;11;12;13;13;15;15;15;15;15;16;16
"8434 Waskemeer";4;4;4;5;5;5;5;5;5;5;5;5
"8435 Donkerbroek";9;9;10;10;10;12;12;12;12;12;13;13
"8437 Zorgvlied";1;1;1;1;1;1;1;1;1;1;1;1
"8438 Wateren";"";"";"";"";"";"";"";"";"";1;1;1
"8439 Oude Willem";2;2;2;2;2;2;2;2;2;2;2;2
"8441 Heerenveen";247;253;255;254;255;255;255;258;258;262;263;268
"8442 Centrum";23;23;23;23;24;23;25;25;26;25;25;26
"8443 De Akkers";12;11;11;10;11;11;12;13;14;14;14;14
"8444 Oudeschoot";3;3;3;3;3;3;3;3;3;3;3;4
"8445 Zuid";29;31;32;32;34;37;38;39;41;41;40;43
"8446 Rijksstraatweg";20;33;29;21;21;30;26;24;28;31;30;29
"8447 Kanaal/Nijehaske/e.a.";31;31;36;36;35;39;43;47;48;50;52;55
"8448 Het Meer";63;66;69;69;65;65;67;68;71;73;77;80
"8449 Terband";1;1;1;1;1;1;1;1;1;1;1;1
"8451 Oudeschoot";2;3;3;5;6;5;5;5;5;5;6;6
"8452 Nieuweschoot";1;1;1;1;1;1;1;1;1;1;1;1
"8453 Oranjewoud";14;15;15;15;15;15;17;18;19;20;25;27
"8454 Mildam";7;7;7;7;7;7;7;6;6;6;7;7
"8455 Katlijk";6;7;8;8;8;8;8;8;8;8;8;10
"8456 De Knipe";4;4;3;3;4;4;5;6;6;6;6;6
"8457 Gersloot";2;2;3;3;4;4;4;4;4;4;5;5
"8458 Tjalleberd";9;9;9;9;9;9;9;9;9;10;10;10
"8459 Luinjeberd";3;3;3;4;5;5;5;6;6;6;6;6
"8461 Rottum";3;3;3;3;3;3;3;3;3;3;3;3
"8462 Rotstergaast";4;4;4;4;4;4;5;5;5;5;5;5
"8463 Rotsterhaule";3;3;3;3;3;3;3;3;3;3;3;3
"8464 Sintjohannesga";3;3;2;2;2;2;3;3;3;3;4;4
"8465 Oudehaske";10;11;11;11;11;13;13;14;14;13;13;19
"8466 Nijehaske";"";"";"";"";"";"";"";"";"";"";"";""
"8467 Vegelinsoord";3;3;3;3;3;4;5;5;5;5;5;5
"8468 Haskerdijken";3;3;3;3;3;3;3;3;4;4;4;4
"8469 Nieuwebrug";"";"";"";"";"";"";"";"";"";"";"";""
"8471 Wolvega";36;40;39;39;41;42;45;44;48;48;49;52
"8472 Wolvega";6;7;7;7;7;7;8;7;8;8;8;8
"8474 Oldeholtpade";7;7;7;7;7;7;7;7;7;7;7;8
"8475 Nijeholtpade";2;2;2;2;2;2;2;2;3;3;3;3
"8476 Ter Idzard";3;3;3;3;3;3;4;4;3;3;3;3
"8477 Oldeholtwolde";1;1;1;1;1;1;1;1;1;1;1;1
"8478 Sonnega";2;2;2;1;1;1;1;1;1;2;2;2
"8479 Oldetrijne";0;0;0;0;0;0;0;0;0;0;0;1
"8481 Nijetrijne";0;0;0;0;0;0;0;1;1;1;1;1
"8482 Spanga";1;1;1;1;1;1;1;1;1;1;1;1
"8483 Scherpenzeel";3;3;3;3;3;4;4;4;4;4;4;4
"8484 Langelille";0;0;0;0;0;0;0;0;0;0;0;0
"8485 Munnekeburen";3;3;3;4;4;4;4;4;4;4;4;4
"8486 Oldelamer";0;0;0;0;0;0;0;0;0;0;0;0
"8487 Nijelamer";5;5;5;5;5;5;5;5;5;5;5;6
"8488 Nijeholtwolde";0;0;0;0;0;0;0;0;0;0;0;0
"8489 Slijkenburg";4;4;4;4;4;4;4;4;4;4;4;4
"8491 Akkrum";29;29;30;30;30;32;34;33;34;35;35;35
"8493 Terherne";5;5;5;5;5;7;7;9;10;10;11;11
"8494 Nes";19;19;19;20;21;21;20;21;21;22;24;25
"8495 Aldeboarn";7;7;7;7;7;7;7;8;9;10;12;12
"8497 Goëngahuizen";1;1;1;1;1;1;1;1;1;1;1;1
"8501 Joure";31;38;39;39;40;40;40;40;45;48;52;52
"8502 Vrsp hzn Joure";21;23;23;23;23;24;23;25;25;26;26;29
"8503 Joure";3;3;4;4;4;4;4;4;4;4;4;4
"8505 Snikzwaag";1;1;1;1;1;2;2;2;2;2;2;2
"8506 Haskerhorne";3;3;3;3;3;3;3;3;3;3;3;3
"8507 Rohel";2;2;1;1;1;1;1;1;1;1;1;1
"8508 Delfstrahuizen";3;3;3;3;2;2;2;2;3;3;3;4
"8511 Goingarijp";"";"";"";"";"";1;1;1;1;1;1;1
"8512 Broek";2;2;2;2;2;4;4;4;4;5;6;6
"8513 Ouwsterhaule";"";1;1;1;1;1;1;1;2;3;3;3
"8514 Ouwster-Nijega";"";"";"";"";"";"";"";"";"";"";"";""
"8515 Oldeouwer";1;1;1;1;1;1;1;1;1;1;1;1
"8516 Doniaga";0;0;0;0;0;0;0;0;0;0;0;0
"8517 Scharsterbrug";3;3;3;3;3;3;3;3;3;3;3;3
"8521 Sint Nicolaasga";12;12;13;13;13;13;14;14;15;14;14;16
"8522 Tjerkgaast";2;2;2;2;2;2;2;3;3;3;3;3
"8523 Idskenhuizen";2;2;2;2;2;3;3;3;3;3;3;3
"8524 Teroele";"";"";"";"";0;0;0;0;0;0;0;0
"8525 Langweer";6;7;7;7;7;7;7;6;6;7;7;7
"8526 Boornzwaag";1;1;1;1;1;1;1;1;1;1;1;1
"8527 Legemeer";"";"";"";"";"";"";"";"";"";"";"";""
"8528 Dijken";0;0;0;0;0;0;0;0;0;0;0;0
"8529 Koufurderrige";2;2;2;2;2;2;2;2;2;2;2;2
"8531 Lemmer";68;70;73;72;72;74;79;80;82;84;91;95
"8532 Kleine brekken";26;27;27;28;29;30;30;30;32;32;33;35
"8534 Eesterga";"";0;0;0;0;0;0;1;1;1;1;1
"8535 Follega";4;4;4;4;4;4;4;4;4;4;4;5
"8536 Oosterzee";3;3;3;3;3;4;4;4;4;6;6;6
"8537 Echten";0;0;0;0;0;0;0;0;0;0;0;0
"8538 Bantega";4;4;4;4;4;4;4;4;4;4;4;4
"8539 Echtenerbrug";3;3;3;3;4;4;4;6;6;6;7;7
"8541 Akmarijp";"";"";"";"";"";"";"";"";"";"";"";""
"8542 Terkaple";3;3;3;3;2;2;2;3;3;3;3;3
"8551 Woudsend";5;5;5;5;6;7;7;7;7;8;8;8
"8552 Smallebrugge";"";"";"";"";"";"";"";"";"";"";"";""
"8553 Indijk";2;2;2;2;2;3;4;4;4;4;4;4
"8554 Ypecolsga";"";"";"";"";"";"";"";"";"";"";"";""
"8556 Sloten";3;3;4;4;4;5;5;5;5;5;5;5
"8561 Balk";21;21;21;21;21;23;26;26;27;28;33;35
"8563 Wijckel";17;17;17;17;17;21;22;26;26;29;30;29
"8564 Ruigahuizen";1;1;1;1;1;1;1;2;2;2;2;2
"8565 Sondel";4;4;4;4;3;3;3;3;3;3;3;3
"8566 Nijemirdum";3;4;5;5;5;5;6;6;7;7;7;8
"8567 Oudemirdum";8;8;8;8;8;8;9;9;9;10;10;11
"8571 Harich";6;6;6;6;6;6;6;6;7;7;10;10
"8572 Rijs";4;4;4;4;4;4;4;4;4;4;5;5
"8573 Mirns";"";"";"";"";"";"";"";"";"";"";"";""
"8574 Bakhuizen";3;3;3;3;3;3;4;4;4;4;5;5
"8581 Elahuizen";4;4;4;4;4;4;4;4;4;4;4;4
"8582 Oudega";1;1;1;1;1;1;1;1;1;1;1;1
"8583 Kolderwolde";"";"";"";"";"";"";"";"";"";"";"";0
"8584 Hemelum";2;4;4;4;4;4;4;4;4;4;4;5
"8601 Grachten/Hemdijk/Stationsbrt";43;45;46;46;48;50;54;57;61;64;65;70
"8602 Noorderhoek";20;23;24;25;26;26;26;25;26;27;28;29
"8603 Noordoosthoek/Zwetteplan/Bomenbrt";21;22;21;20;21;21;21;20;23;24;27;29
"8604 Stadsfenne/De Domp";24;25;28;29;29;30;31;35;35;36;38;45
"8605 Het Eiland/Leeuwarderweg";5;6;7;7;10;10;10;10;10;11;12;13
"8606 Sperkhem/Houkesloot";23;24;25;26;26;28;26;28;30;33;35;35
"8607 Lemmerweg-O/Duinterpen";26;26;25;26;27;29;29;32;36;38;39;40
"8608 Lemmerweg-W/Tinga";15;15;15;15;18;16;16;18;17;16;16;16
"8611 Gaastmeer";6;6;6;6;6;6;6;6;6;6;7;7
"8612 Idzega";"";"";"";"";"";"";"";"";"";"";"";""
"8613 Sandfirden";"";"";"";"";"";"";"";"";"";"";"";""
"8614 Oudega";7;7;8;8;8;9;10;10;11;12;12;12
"8615 Blauwhuis";0;0;0;0;0;0;0;0;0;0;0;0
"8616 Westhem";"";"";"";"";"";"";"";"";"";"";"";""
"8617 Abbega";2;2;2;2;2;2;2;2;2;2;2;2
"8618 Oosthem";1;1;1;1;2;1;1;1;1;1;1;2
"8621 Heeg";14;14;14;14;14;17;18;19;19;20;23;23
"8622 Hommerts";5;4;4;4;4;4;4;5;5;5;4;4
"8623 Jutrijp";1;1;1;1;1;1;1;1;1;1;1;2
"8624 Uitwellingerga";6;6;6;6;6;7;7;7;7;7;7;7
"8625 Oppenhuizen";9;11;11;11;11;11;11;11;12;14;14;14
"8626 Offingawier";5;5;5;5;5;5;5;4;4;4;4;4
"8627 Gauw";6;6;6;6;6;6;6;6;6;6;6;6
"8628 Goënga";1;1;1;1;1;1;1;1;1;1;1;1
"8629 Scharnegoutum";12;12;12;13;14;14;14;14;15;16;16;17
"8631 Loënga";1;1;1;1;1;1;1;1;1;1;1;1
"8632 Tirns";5;5;5;5;5;5;4;4;4;4;3;3
"8633 Ysbrechtum";2;2;2;2;2;2;2;3;3;4;4;6
"8635 Boazum";1;1;1;1;1;1;1;1;1;1;1;1
"8636 Britswert";"";"";"";"";"";"";"";"";"";"";"";""
"8637 Wiuwert";2;2;2;3;3;3;3;3;3;3;3;3
"8641 Rien";1;1;1;1;1;1;1;1;1;1;1;1
"8642 Lytsewierrum";1;1;1;1;1;1;1;1;1;1;1;1
"8644 Dearsum";"";"";"";"";0;0;0;0;0;0;0;0
"8647 Sibrandabuorren";1;2;2;2;2;2;2;2;2;3;3;3
"8651 IJlst";26;26;26;27;27;27;27;30;31;33;33;35
"8658 Greonterp";0;0;0;0;0;0;0;0;0;0;0;0
"8701 Bolsward";22;24;25;26;26;27;28;28;28;29;31;33
"8702 Bolsward";4;5;5;5;5;8;9;8;9;11;11;10
"8711 Workum";24;26;26;26;26;26;27;38;41;44;44;45
"8713 Hindeloopen";4;4;4;3;3;3;3;3;3;3;3;3
"8715 Stavoren";3;3;3;3;4;4;4;5;6;6;6;6
"8721 Warns";7;7;7;7;7;6;6;6;6;6;6;6
"8722 Molkwerum";"";"";4;4;4;4;4;4;4;5;5;5
"8723 Koudum";20;20;21;20;20;20;20;20;21;20;20;20
"8724 It Heidenskip";3;3;3;2;2;2;2;2;2;2;2;2
"8731 Wommels";14;14;15;15;16;18;20;20;21;21;21;21
"8732 Kûbaard";0;0;0;0;0;0;0;0;0;0;0;0
"8733 Iens";0;0;0;0;0;0;0;0;0;0;"";""
"8734 Easterein";6;7;7;8;8;7;7;7;7;7;7;7
"8735 Itens";4;4;4;4;4;4;4;4;4;4;4;4
"8736 Reahûs";1;1;1;1;1;1;1;1;1;1;1;2
"8737 Hidaard";1;1;1;1;1;1;1;1;1;1;1;1
"8741 Hartwerd";1;1;1;"";"";"";"";"";"";"";"";""
"8742 Burgwerd";3;3;3;3;3;3;3;3;3;3;3;3
"8743 Hichtum";"";"";"";"";"";"";"";"";"";"";"";""
"8744 Schettens";2;3;3;3;3;3;3;3;3;3;3;3
"8745 Longerhouw";"";"";"";"";"";"";"";"";"";"";"";""
"8746 Schraard";"";"";"";"";"";1;1;1;1;1;1;1
"8747 Wons";2;3;3;3;3;2;2;2;2;2;2;2
"8748 Witmarsum";19;19;20;21;20;20;19;19;20;19;19;20
"8749 Pingjum";7;7;6;7;7;8;8;9;9;10;10;10
"8751 Zurich";0;0;0;0;1;1;1;1;1;1;1;1
"8752 Kornwerderzand";"";"";"";"";"";"";"";"";"";"";"";""
"8753 Cornwerd";"";"";"";"";"";"";"";"";"";"";"";""
"8754 Makkum";17;17;16;15;16;18;19;20;21;20;20;26
"8755 Idsegahuizum";"";"";"";"";"";"";"";"";"";"";"";""
"8756 Piaam";2;2;2;2;2;2;2;2;2;2;2;2
"8757 Gaast";1;1;1;1;1;1;1;1;1;1;1;1
"8758 Allingawier";4;4;4;4;4;4;4;4;3;4;4;4
"8759 Exmorra";2;2;2;2;2;2;2;2;2;2;1;1
"8761 Ferwoude";1;1;1;1;1;2;3;3;2;2;2;2
"8762 Hieslum";2;2;2;2;2;2;2;2;2;2;2;2
"8763 Parrega";2;2;2;2;2;2;3;3;3;3;3;3
"8764 Dedgum";0;0;0;0;0;0;0;0;0;0;0;0
"8765 Tjerkwerd";3;3;4;4;4;5;6;5;5;5;6;7
"8766 Breezanddijk";"";"";"";"";"";"";"";"";"";"";"";""
"8771 Nijland";1;1;1;1;1;1;1;1;1;1;3;5
"8772 Tjalhuizum";"";"";"";"";"";"";"";"";"";"";1;1
"8773 Folsgare";3;3;3;3;3;3;3;3;3;3;3;3
"8774 Wolsum";"";"";"";"";"";"";"";"";"";"";"";""
"8775 Nijhuizum";"";"";"";"";"";"";"";"";"";"";"";""
"8801 Franeker-Z";31;32;32;32;34;38;39;42;42;43;44;66
"8802 Franeker-N";24;27;30;30;30;30;30;30;32;32;34;34
"8804 Tzum";6;6;7;7;7;7;9;9;10;10;10;10
"8805 Hitzum";3;3;3;2;2;2;2;2;2;2;2;4
"8806 Achlum";1;1;1;1;1;1;1;1;1;1;1;1
"8807 Herbaijum";1;1;1;1;1;1;1;1;1;1;1;1
"8808 Dongjum";1;1;1;1;1;2;2;2;1;1;1;1
"8809 Boer";"";"";"";"";"";"";"";"";"";"";"";""
"8811 Ried";3;4;4;4;4;4;6;6;6;6;7;7
"8812 Peins";1;1;1;1;1;1;1;1;1;2;2;2
"8813 Schalsum";1;1;1;1;1;1;1;1;1;1;1;1
"8814 Zweins";2;2;2;2;2;2;2;2;2;2;2;2
"8816 Schingen";1;1;1;1;1;1;1;1;1;1;1;1
"8821 Kimswerd";3;4;4;4;4;4;4;4;4;4;4;4
"8822 Arum";11;11;12;12;11;13;12;13;14;15;15;15
"8823 Lollum";2;2;2;2;2;2;2;3;3;3;3;3
"8831 Winsum";3;3;3;3;3;3;4;5;4;4;4;5
"8832 Húns";0;0;0;0;0;0;0;0;0;0;0;0
"8833 Leons";0;0;0;0;0;0;0;0;0;0;0;0
"8834 Baard";3;3;3;3;4;4;4;5;5;5;5;5
"8835 Easterlittens";5;5;5;5;4;4;4;5;5;3;3;3
"8841 Baaium";"";"";"";"";"";"";"";"";"";"";"";""
"8842 Wjelsryp";2;3;3;3;3;3;3;3;3;2;2;2
"8843 Spannum";4;4;4;4;4;4;4;5;5;5;5;5
"8844 Hennaard";1;1;1;1;1;1;1;1;"";"";"";""
"8845 Waaxens";"";"";"";"";"";"";"";"";"";"";"";1
"8851 Tzummarum";7;7;7;6;6;8;8;8;8;8;10;10
"8852 Firdgum";"";"";"";"";"";"";"";"";"";"";"";""
"8853 Klooster Lidlum";"";"";"";"";"";"";"";"";"";"";"";""
"8854 Oosterbierum";1;1;1;1;1;1;1;1;1;1;1;1
"8855 Sexbierum";2;3;3;3;5;4;4;4;4;6;7;8
"8856 Pietersbierum";1;1;1;1;1;1;1;1;1;1;1;1
"8857 Wijnaldum";6;6;6;6;6;6;5;5;5;5;5;5
"8861 Noord";52;53;57;58;60;62;62;62;63;63;64;66
"8862 Zuid";29;31;32;34;36;39;40;41;42;45;45;46
"8871 Midlum";2;2;2;2;2;3;3;3;3;3;3;3
"8872 Midlum";0;0;0;0;0;0;0;0;1;1;1;2
"8881 West-Terschelling";67;67;68;68;69;68;69;69;68;69;68;57
"8882 Hee";1;1;1;1;1;1;1;1;1;1;1;1
"8883 Kaard";"";"";"";"";"";"";"";"";"";"";"";""
"8884 Baaiduinen";"";"";"";"";0;0;0;0;0;1;1;1
"8885 Kinum";1;1;1;1;1;1;1;1;1;1;1;1
"8891 Midsland";5;5;5;5;14;14;14;14;20;20;20;20
"8892 Striep";1;1;1;1;"";"";"";"";"";"";"";""
"8893 Landerum";2;2;2;2;2;2;2;2;2;2;2;2
"8894 Formerum";11;11;11;11;11;11;11;10;10;10;10;10
"8895 Lies";7;7;7;7;7;8;8;8;7;7;7;7
"8896 Hoorn";5;5;5;5;6;6;6;6;6;6;6;6
"8897 Oosterend";5;5;5;5;5;5;5;5;5;5;5;6
"8899 Oost-Vlieland";14;15;15;15;15;15;15;16;16;16;16;16
"8911 Binnenstad";37;37;38;38;37;44;42;43;45;48;51;52
"8912 Harlingervaart-Zwette";31;31;32;33;33;32;33;33;33;33;33;41
"8913 Vossepark";23;23;24;24;24;25;25;27;28;30;31;32
"8914 Frieslandhal";64;69;71;73;79;80;80;80;85;88;93;101
"8915 Nieuw-west";16;17;16;16;15;16;16;18;18;18;19;20
"8916 Oud-west-W";14;14;14;14;14;14;13;13;21;22;24;26
"8917 Oud-west-O";13;14;15;16;14;14;14;14;14;17;19;19
"8918 Bilgaard";19;19;21;21;20;20;20;18;18;17;17;17
"8919 Magere Weide";6;6;6;6;6;6;6;6;6;6;6;6
"8921 Oud-oost-O";32;30;32;32;33;33;34;39;37;41;42;42
"8922 Oud-oost-N";15;13;12;11;11;11;11;12;29;12;11;12
"8923 Vrijheidswijk";16;17;17;17;17;16;17;17;20;17;20;18
"8924 Heechterp/Schieringen";15;15;15;14;14;14;14;15;15;15;15;16
